gene,SRR13587899,SRR13587900,SRR13587901,SRR13587902,SRR13587903,SRR13587904
Zm00001d050897,0.391466,0.8543649999999999,0.653046,2.8430590000000002,2.832842,2.23945
Zm00001d050899,1.3301129999999999,0.582307,0.06792999999999999,3.03956,2.973071,1.0781209999999999
Zm00001d050901,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050902,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050903,10.672449,7.744117,7.255354,11.741431,11.681761,9.880189999999999
Zm00001d050904,0.0,0.0,0.0,0.051158999999999996,0.0,0.0
Zm00001d050905,88.385864,63.779854,71.33962199999999,121.694244,134.31506299999998,95.13810699999999
Zm00001d050907,3.887379,3.564821,3.659219,4.026076,2.2037400000000003,4.160711
Zm00001d050908,0.0,0.0,0.0,1.166039,2.4789220000000003,1.693973
Zm00001d050909,2.820575,3.882076,2.627305,0.31716700000000003,1.025556,0.8094600000000001
Zm00001d050910,20.268621,24.156086,23.758013000000002,23.189278,19.401649,24.535027
Zm00001d050911,0.082496,0.12008900000000002,0.383993,0.154085,0.067876,0.17184100000000002
Zm00001d050913,10.194217,10.968541,9.853691,9.789632000000001,8.449241,13.185808999999999
Zm00001d050914,7.1636050000000004,14.393595999999999,10.923836999999999,9.039143,5.536951999999999,9.425631
Zm00001d050915,28.689283000000003,26.630758,28.913994,28.190203000000004,24.48086,33.350628
Zm00001d050916,219.57884199999998,148.51663200000002,199.602249,154.74809299999998,224.982727,149.57081599999998
Zm00001d050917,48.587139,62.46159,59.093784,46.316528000000005,36.277508000000005,52.881184
Zm00001d050918,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050920,293.562103,246.433762,260.131561,211.91337599999997,241.815598,267.58725
Zm00001d050921,247.28057900000002,217.99029500000003,233.53367599999999,123.333519,130.96579,176.03688
Zm00001d050922,0.098914,0.025103,0.0,0.029819,0.020640000000000002,0.093605
Zm00001d050923,80.043068,76.605453,53.001263,47.064053,54.737061,61.01305
Zm00001d050924,0.0,0.027857999999999997,0.0,0.980402,0.736542,1.493398
Zm00001d050925,27.114889,29.686804,28.39974,23.504082,19.332975,25.396267
Zm00001d050926,0.720441,0.817142,1.361499,0.235352,0.31306,0.196402
Zm00001d050927,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050928,47.013214000000005,59.411003,53.213253,50.037521000000005,47.715073,52.107639
Zm00001d050929,16.605072,20.482235,19.28513,21.889278,19.622948,23.94911
Zm00001d050930,0.0,0.456875,0.121173,0.578863,1.001503,0.686026
Zm00001d050931,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050933,0.0,0.0,0.0,0.0,0.09794800000000001,0.0
Zm00001d050934,0.0,0.0,0.017136000000000002,0.0,0.005622,0.0
Zm00001d050935,17.254889000000002,11.383848,14.402121,11.846848,21.297159,13.887175
Zm00001d050936,0.0,0.0,0.0,1.6782439999999998,1.405492,2.69142
