"Cl044459","Cl044460","Cl044461","Cl044462","Cl044463","Cl044464","Cl044465","Cl044466","Cl044467","Cl044468","Cl044469","Cl044470","Cl044471","Cl044472","Cl044473","Cl044474","Cl044475","Cl044476","Cl044477","Cl044478","Cl044479","Cl044480","Cl044481","Cl044482","Cl044483","Cl044484","Cl044485"
0,0.432451,0,0,0,0,0,0,0.035302,0,3.339131,0,10.463165,0,0,0,0,0,0,0,0,0.114644,0,0,0.042683,0.025392,0
0,0.356645,0,0,0,0.077778,0,0,0.163388,0,10.911101,0,1.020189,0,0,0,0,0,0,0,0,0.097748,0,0,0.041637,0.413324,0
0,0.333032,0,0,0,0.636685,0,0,0.032851,0,8.280419,0,2.084385,0,0,0,0,0,0,0,0,0.098513,0,0,0.022384,1.742695,0
0,0.682975,0,0,0,0.528269,0,0,0.263812,0,6.834596,0,1.577045,0,0,0,0,0,0,0,0,0.125487,0,0,0.205824,2.084835,0
0,0.732699,0,0,0,0.090074,0,0,0.107753,0,1.793632,0,5.24715,0,0,0,0,0,0,0,0,0,0,0,0,0.490475,0
0,0.0902,0,0,0,0,0,0,0.183465,0,3.540495,0,7.42044,0,0,0,0,0,0,0,0,0,0,0,0,0.331564,0
0,0.567531,0,0,0,0,0,0,0,0,6.316057,0,16.428128,0,0,0,0,0,0,0,0,0,0,0,0,0.017977,0
0,0.708099,0,0,0,1.350723,0,0,0.038215,0,11.900431,0,0.238024,0,0,0,0,0,0,0,0,0.129786,0,0,0.060206,0.583433,0
0,0.425625,0,0,0,0.79996,0,0,0.146821,0,7.165531,0,0.885607,0,0,0,0,0,0,0,0,0.430916,0,0,0.042076,0.486764,0
0,0.888794,0,0,0,0.413905,0,0,0.288696,0,11.549789,0,0.61079,0,0,0,0,0,0,0,0,0,0,0,0,1.1795,0
0,1.706693,0,0,0,0,0,0,0.192432,0,10.335823,0,0.571468,0,0,0,0,0,0,0,0,0,0,0,0,1.155254,0.035121
0,0.740969,0,0,0,0,0,0,0.077069,0,5.21667,0,8.514185,0,0,0,0,0,0,0,0,0,0,0,0,0.053169,0
