,gene_id,sample_id,exp_level,tissue
127,Cl044466,SRR14373605,0,leaf
128,Cl044465,SRR14373605,0,leaf
129,Cl044464,SRR14373605,0.090074,leaf
130,Cl044463,SRR14373605,0,leaf
131,Cl044462,SRR14373605,0,leaf
132,Cl044461,SRR14373605,0,leaf
133,Cl044460,SRR14373605,0.732699,leaf
134,Cl044459,SRR14373605,0,leaf
135,Cl044485,SRR14373606,0,leaf
136,Cl044484,SRR14373606,0.331564,leaf
137,Cl044483,SRR14373606,0,leaf
138,Cl044482,SRR14373606,0,leaf
139,Cl044481,SRR14373606,0,leaf
140,Cl044480,SRR14373606,0,leaf
141,Cl044479,SRR14373606,0,leaf
142,Cl044478,SRR14373606,0,leaf
143,Cl044477,SRR14373606,0,leaf
144,Cl044476,SRR14373606,0,leaf
145,Cl044475,SRR14373606,0,leaf
146,Cl044474,SRR14373606,0,leaf
147,Cl044473,SRR14373606,0,leaf
148,Cl044472,SRR14373606,0,leaf
149,Cl044471,SRR14373606,7.42044,leaf
150,Cl044470,SRR14373606,0,leaf
151,Cl044469,SRR14373606,3.540495,leaf
152,Cl044468,SRR14373606,0,leaf
153,Cl044467,SRR14373606,0.183465,leaf
154,Cl044466,SRR14373606,0,leaf
155,Cl044465,SRR14373606,0,leaf
156,Cl044464,SRR14373606,0,leaf
157,Cl044463,SRR14373606,0,leaf
158,Cl044462,SRR14373606,0,leaf
159,Cl044461,SRR14373606,0,leaf
160,Cl044460,SRR14373606,0.0902,leaf
161,Cl044459,SRR14373606,0,leaf
162,Cl044485,SRR14373607,0,leaf
163,Cl044484,SRR14373607,0.017977,leaf
164,Cl044483,SRR14373607,0,leaf
165,Cl044482,SRR14373607,0,leaf
166,Cl044481,SRR14373607,0,leaf
167,Cl044480,SRR14373607,0,leaf
168,Cl044479,SRR14373607,0,leaf
169,Cl044478,SRR14373607,0,leaf
170,Cl044477,SRR14373607,0,leaf
171,Cl044476,SRR14373607,0,leaf
172,Cl044475,SRR14373607,0,leaf
173,Cl044474,SRR14373607,0,leaf
174,Cl044473,SRR14373607,0,leaf
175,Cl044472,SRR14373607,0,leaf
176,Cl044471,SRR14373607,16.428128,leaf
177,Cl044470,SRR14373607,0,leaf
178,Cl044469,SRR14373607,6.316057,leaf
179,Cl044468,SRR14373607,0,leaf
180,Cl044467,SRR14373607,0,leaf
181,Cl044466,SRR14373607,0,leaf
182,Cl044465,SRR14373607,0,leaf
183,Cl044464,SRR14373607,0,leaf
184,Cl044463,SRR14373607,0,leaf
185,Cl044462,SRR14373607,0,leaf
186,Cl044461,SRR14373607,0,leaf
187,Cl044460,SRR14373607,0.567531,leaf
188,Cl044459,SRR14373607,0,leaf
189,Cl044485,SRR14373608,0,leaf
190,Cl044484,SRR14373608,0.583433,leaf
191,Cl044483,SRR14373608,0.060206,leaf
192,Cl044482,SRR14373608,0,leaf
193,Cl044481,SRR14373608,0,leaf
194,Cl044480,SRR14373608,0.129786,leaf
195,Cl044479,SRR14373608,0,leaf
196,Cl044478,SRR14373608,0,leaf
197,Cl044477,SRR14373608,0,leaf
198,Cl044476,SRR14373608,0,leaf
199,Cl044475,SRR14373608,0,leaf
200,Cl044474,SRR14373608,0,leaf
201,Cl044473,SRR14373608,0,leaf
202,Cl044472,SRR14373608,0,leaf
203,Cl044471,SRR14373608,0.238024,leaf
204,Cl044470,SRR14373608,0,leaf
205,Cl044469,SRR14373608,11.900431,leaf
206,Cl044468,SRR14373608,0,leaf
207,Cl044467,SRR14373608,0.038215,leaf
208,Cl044466,SRR14373608,0,leaf
209,Cl044465,SRR14373608,0,leaf
210,Cl044464,SRR14373608,1.350723,leaf
211,Cl044463,SRR14373608,0,leaf
212,Cl044462,SRR14373608,0,leaf
213,Cl044461,SRR14373608,0,leaf
214,Cl044460,SRR14373608,0.708099,leaf
215,Cl044459,SRR14373608,0,leaf
216,Cl044485,SRR14373609,0,leaf
217,Cl044484,SRR14373609,0.486764,leaf
218,Cl044483,SRR14373609,0.042076,leaf
219,Cl044482,SRR14373609,0,leaf
220,Cl044481,SRR14373609,0,leaf
221,Cl044480,SRR14373609,0.430916,leaf
222,Cl044479,SRR14373609,0,leaf
223,Cl044478,SRR14373609,0,leaf
224,Cl044477,SRR14373609,0,leaf
225,Cl044476,SRR14373609,0,leaf
226,Cl044475,SRR14373609,0,leaf
227,Cl044474,SRR14373609,0,leaf
228,Cl044473,SRR14373609,0,leaf
229,Cl044472,SRR14373609,0,leaf
230,Cl044471,SRR14373609,0.885607,leaf
231,Cl044470,SRR14373609,0,leaf
232,Cl044469,SRR14373609,7.165531,leaf
233,Cl044468,SRR14373609,0,leaf
234,Cl044467,SRR14373609,0.146821,leaf
235,Cl044466,SRR14373609,0,leaf
236,Cl044465,SRR14373609,0,leaf
237,Cl044464,SRR14373609,0.79996,leaf
238,Cl044463,SRR14373609,0,leaf
239,Cl044462,SRR14373609,0,leaf
240,Cl044461,SRR14373609,0,leaf
241,Cl044460,SRR14373609,0.425625,leaf
242,Cl044459,SRR14373609,0,leaf
243,Cl044485,SRR14373610,0,leaf
244,Cl044484,SRR14373610,1.1795,leaf
245,Cl044483,SRR14373610,0,leaf
246,Cl044482,SRR14373610,0,leaf
247,Cl044481,SRR14373610,0,leaf
248,Cl044480,SRR14373610,0,leaf
249,Cl044479,SRR14373610,0,leaf
250,Cl044478,SRR14373610,0,leaf
251,Cl044477,SRR14373610,0,leaf
252,Cl044476,SRR14373610,0,leaf
253,Cl044475,SRR14373610,0,leaf
254,Cl044474,SRR14373610,0,leaf
255,Cl044473,SRR14373610,0,leaf
256,Cl044472,SRR14373610,0,leaf
257,Cl044471,SRR14373610,0.61079,leaf
258,Cl044470,SRR14373610,0,leaf
259,Cl044469,SRR14373610,11.549789,leaf
260,Cl044468,SRR14373610,0,leaf
261,Cl044467,SRR14373610,0.288696,leaf
262,Cl044466,SRR14373610,0,leaf
263,Cl044465,SRR14373610,0,leaf
264,Cl044464,SRR14373610,0.413905,leaf
265,Cl044463,SRR14373610,0,leaf
266,Cl044462,SRR14373610,0,leaf
267,Cl044461,SRR14373610,0,leaf
268,Cl044460,SRR14373610,0.888794,leaf
269,Cl044459,SRR14373610,0,leaf
270,Cl044485,SRR14373611,0.035121,leaf
271,Cl044484,SRR14373611,1.155254,leaf
272,Cl044483,SRR14373611,0,leaf
273,Cl044482,SRR14373611,0,leaf
274,Cl044481,SRR14373611,0,leaf
275,Cl044480,SRR14373611,0,leaf
276,Cl044479,SRR14373611,0,leaf
277,Cl044478,SRR14373611,0,leaf
278,Cl044477,SRR14373611,0,leaf
279,Cl044476,SRR14373611,0,leaf
280,Cl044475,SRR14373611,0,leaf
281,Cl044474,SRR14373611,0,leaf
282,Cl044473,SRR14373611,0,leaf
283,Cl044472,SRR14373611,0,leaf
284,Cl044471,SRR14373611,0.571468,leaf
285,Cl044470,SRR14373611,0,leaf
286,Cl044469,SRR14373611,10.335823,leaf
287,Cl044468,SRR14373611,0,leaf
288,Cl044467,SRR14373611,0.192432,leaf
289,Cl044466,SRR14373611,0,leaf
290,Cl044465,SRR14373611,0,leaf
291,Cl044464,SRR14373611,0,leaf
292,Cl044463,SRR14373611,0,leaf
293,Cl044462,SRR14373611,0,leaf
294,Cl044461,SRR14373611,0,leaf
295,Cl044460,SRR14373611,1.706693,leaf
296,Cl044459,SRR14373611,0,leaf
297,Cl044485,SRR14373612,0,leaf
298,Cl044484,SRR14373612,0.053169,leaf
